30032		 77
30034		 811
30038		 1
30044		 89
30046		 871
30149		 1582
30152		 1517
30209		 69
30210		 329
30351		 11
30352		 10
30353		 10
30354		 11
30355		 10
30357		 10
30359		 10
30360		 10
30361		 10
30362		 10
30363		 10
30364		 10
30365		 10
30366		 10
30367		 11
30368		 10
30369		 10
30371		 10
30373		 10
30374		 10
30375		 10
30378		 10
30379		 10
30380		 10
30383		 10
30384		 10
30385		 10
30387		 10
30388		 10
30390		 10
30393		 10
30394		 10
30395		 10
30396		 11
30398		 10
30401		 10
30402		 10
30403		 10
30404		 10
30405		 10
30408		 10
30409		 10
30410		 10
30411		 10
30413		 10
30414		 10
30419		 10
30537		 10
30538		 10
30540		 10
30541		 10
30573		 10
30574		 10
30575		 10
30576		 10
30578		 10
30579		 10
30580		 10
30581		 10
30584		 10
30749		 12
30752		 10
30753		 10
30754		 10
30755		 10
30756		 10
30757		 10
30758		 10
30759		 10
30760		 10
30761		 10
30762		 10
30763		 10
30767		 10
30768		 12
30769		 10
30770		 10
30771		 12
30772		 10
30773		 12
30774		 10
30775		 10
30776		 10
30783		 10
30784		 10
30785		 10
30786		 10
30787		 10
30788		 10
30789		 10
30790		 10
30792		 10
30793		 10
30794		 10
30795		 10
30796		 10
30797		 10
30799		 10
30800		 10
30801		 10
30802		 10
30803		 10
30805		 10
30806		 10
30807		 10
30808		 10
30809		 10
30810		 10
30811		 10
30812		 10
30813		 10
30814		 10
30820		 10
30920		 10
30921		 10
30922		 10
30923		 10
30924		 10
30925		 10
30926		 10
30927		 10
30928		 10
30929		 10
30930		 10
30931		 10
30932		 14
30933		 10
30934		 10
30935		 10
30936		 10
30937		 10
30941		 10
30942		 10
30943		 10
30944		 10
30945		 10
30946		 10
30947		 10
30948		 10
30949		 10
30950		 10
30951		 10
30952		 10
30953		 10
30954		 10
30955		 10
30956		 10
30957		 10
30958		 10
30959		 10
30960		 10
30961		 10
30963		 12
30964		 12
30965		 12
30966		 12
30967		 12
30968		 10
30971		 10
30980		 10
30981		 10
30982		 10
31218		 10
31219		 8
31220		 10
31221		 10
31222		 10
31223		 10
31224		 10
31225		 10
31227		 10
31229		 10
31230		 10
31231		 10
31233		 10
31234		 10
31236		 10
31237		 10
31238		 10
31241		 10
31242		 10
31243		 10
31244		 10
31245		 10
31249		 10
31252		 10
31253		 10
31254		 10
31255		 10
31256		 10
31257		 10
31260		 10
31261		 10
31262		 18
31430		 10
31431		 10
31432		 10
31433		 10
31434		 10
31435		 10
31436		 10
31437		 10
31438		 10
31439		 10
31440		 10
31441		 10
31442		 10
